"","x","y","clase","x_square","y_square","radius","distance_to_mean","product","x_ln","y_ln","prediccion_original_gml","prediccion_completo_gml","prediccion_original_knn","prediccion_completo_knn","prediccion_original_tree","prediccion_completo_tree"
"3",0.499397992616367,0.540286065069303,"C1",0.249398355029257,0.291909032108071,0.735735949330552,0.0272281902031636,0.269817776334206,-0.694351920735318,-0.615656529563541,"C2","C1","C1","C1","C1","C1"
"4",0.496254585514517,0.515148120098078,"C1",0.246268613644185,0.265377585640583,0.715294484310321,0.0243266763163183,0.255644616817854,-0.700666206691907,-0.66330080782983,"C2","C1","C1","C1","C1","C1"
"5",0.452060244979836,0.522906858840939,"C1",0.204358465091229,0.273431583022898,0.691223587643048,0.0675359937842034,0.236385402709271,-0.79393982267799,-0.64835192094744,"C2","C1","C1","C1","C1","C1"
"6",0.510333845770463,0.524514780186705,"C1",0.260440634138871,0.275115754634308,0.731817182616792,0.00958680659618319,0.267677644936131,-0.67269016787067,-0.64528167196855,"C2","C1","C1","C1","C1","C1"
"13",0.598687859179971,0.511827977667458,"C1",0.358427152729497,0.26196787872316,0.787651592680836,0.079751409701579,0.306425196218145,-0.51301491989354,-0.669766691515176,"C2","C1","C1","C1","C1","C1"
"21",0.601662973681257,0.696686616238846,"C1",0.361998333898973,0.485372241246333,0.920527335360176,0.192987684426148,0.419170541250197,-0.508057834827991,-0.361419587351846,"C2","C2","C2","C2","C1","C1"
"22",0.592735035105415,0.665815373729213,"C1",0.351334821841417,0.443310111894172,0.891428591495465,0.161329397902913,0.39465209892111,-0.523007800908819,-0.406742863496182,"C2","C2","C1","C1","C1","C2"
"26",0.485096936386234,0.754632838933656,"C1",0.23531903769131,0.56947072159707,0.897100752027541,0.235156161472965,0.366070078263163,-0.723406539178172,-0.281523954066386,"C2","C2","C1","C1","C2","C1"
"30",0.379612588669858,0.747222093620277,"C1",0.144105717476631,0.55834085719427,0.838120859226699,0.265159700172431,0.283654913270505,-0.968604049809262,-0.291392823955024,"C2","C2","C1","C1","C1","C1"
"37",0.285223006302312,0.526317311175598,"C1",0.0813521633241289,0.277009912043111,0.598633506719462,0.234406801972386,0.150117805762454,-1.25448392643627,-0.641850994942939,"C2","C1","C1","C1","C1","C1"
